Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
290142351936889,Patient Rights Advocate,PATIENT RIGHTS ADVOCATE INC,51534,77
108641741851973,Magic Valley Energy,Magic Valley Energy LLC,51503,140
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,51500,26
104094415337871,Abuse Victim Claims,Tort Group LLC,51378,12
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,51259,687
103588388469410,Disparity Trap,Disparity Trap,51255,15
1700040490027062,Faith In Minnesota,Faith in Minnesota,51203,21
275015722541995,AARP Oklahoma,AARP,51197,28
1376465702586897,Coloradans for Responsible Energy Development,Coloradans for Responsible Energy Development,51163,89
100570452873988,Courage for America,Courage for America,51000,3
1226257404067392,Floridians for Government Accountability,"FLORIDIANS FOR GOVERNMENT ACCOUNTABILITY, INC.",50925,57
56680318666,Illinois Policy,Illinois Policy,50312,90
114898714823260,Illinois Chamber Health Care,ILLINOIS CHAMBER OF COMMERCE,50121,30
116377308013980,Cuidemos Nuestra Agua,California Department of Water Resources,50064,14
1375372595977513,UWorld Insurance Group,UWORLD INSURANCE GROUP,50010,8
109649198271852,Power to the Polls WI,Power to the Polls WI,50000,23
167586229923327,World Food Program USA,World Food Program USA,49892,61
215968684159,AFT - American Federation of Teachers,American Federation of Teachers,49712,45
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",49630,12
1832744013698336,Mahogany Mommies,Mahogany Mommies,49608,37
85273022315,NAMI,NAMI,49415,290
100311159345361,Protecting Our Future,Protecting Our Future Inc,48928,9
70373038195,FairVote Minnesota,Fairvote Minnesota,48630,33
101783516125013,Jodi Habush Sinykin for State Senate,Jodi for Senate,48514,28
108733284000016,Oklahoma Families for Affordable Health Care,Oklahoma Families for Affordable Health Care,48450,27
356860853201,New York League of Conservation Voters,NEW YORK LEAGUE OF CONSERVATION VOTERS,48440,17
107661474402498,Liberty Eagle Apparel,United Patriot,48297,230
110124925319299,Save Our Stoves,FLORIDA NATURAL GAS ASSOCIATION INC,47772,22
256043277748645,NetChoice,NETCHOICE,47772,83
103633935970260,Alex Walsh,The Patriotic Uniting For All,47758,99
107904733908466,Securing Our Future,Securing Our Future,47713,43
95001097200,National Association of Manufacturers,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA INC.,47291,26
112552187080266,Protecting Every Future,American Council of Life Insurers,47273,129
120137368013775,Puget Sound Energy,"PUGET SOUND ENERGY, INC.",47051,72
123857614319417,Texas Nationalist Movement,Texas Nationalist Movement,47025,5
105191819097852,American Family Assistance,American Family Assistance,46984,158
29717379728,International Justice Mission,International Justice Mission,46950,397
2123425971065747,Sora Schools,These ads ran without a disclaimer,46876,8
104809459160835,Queens Future,Queens Future,46713,71
281844617168,Jewish Voice Ministries International,Jewish Voice Ministries International,46580,118
131618273567984,Jeff Landry,Landry for Louisiana,46579,59
75054466127,Keep Louisiana Beautiful,"KEEP LOUISIANA BEAUTIFUL, INC.",46544,25
395387250536986,Janet for Justice,JANET FOR JUSTICE,46414,159
1669941646417657,Senior Choice Financial,Andrea Vargas,46413,66
112134538464796,ErcAccess,Leads Team LLC,46218,77
86071521216,Second Amendment Foundation,SECOND AMENDMENT FOUNDATION INC,46053,53
106656845034469,Smarter NY Energy,Smarter NY Energy,45928,123
1012679305536045,Elissa Slotkin,Elissa Slotkin for Michigan,45790,81
104933662932387,CreativeFuture,CreativeFuture,45713,34
2245766435469741,Beersy,Beersy LLC,45533,66
114192208627061,Florida Home Builders Association,Florida Home Builders Association,45487,25
101605354952785,Glenn Youngkin,Spirit of Virginia,45390,103
105561217523274,The Dispatch,"Dispatch Media, Inc.",45171,330
140499052681592,Bank of the West,BANK OF THE WEST,45116,50
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",45042,81
443329669123990,USAFacts,USAFacts Institute,44992,183
102234002026805,Protect Our Charities,Protect Our Charities,44990,371
25372476424,Best Friends Animal Society,BEST FRIENDS ANIMAL SOCIETY,44739,60
126211280741703,Midwest Values PAC,Midwest Values PAC,44660,46
248422805193353,The California Endowment,The California Endowment,44625,128
134452023239984,Human Coalition,Human Coalition,44521,111
192730325307,TobaccoFreeNYS,Tobacco Free New York State,44357,297
50822254585,Mountain States Legal Foundation,Mountain States Legal Foundation,44328,196
101823082813110,Advancing Florida,ADVANCING FLORIDA,44312,94
106687405264034,SEIU Community Clinic Workers United,SEIU Community Clinic Workers United,44253,155
125769584126996,Yael Eckstein,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",44062,12
101005725901322,Operation Sunlight,Operation Sunlight,44037,1135
109849005245589,American Family Benefits & Services,Final Expense Authority LLC,43530,354
20787991568,Senate Democrats,DSCC,43450,121
318196171580489,Ron DeSantis,Ron DeSantis for President,43394,780
104015109339573,TEXAS CARES,Texas Consumers for Affordable and Reliable Electricity Solutions,43349,63
297987334762,Jamie Raskin,Jamie Raskin for Congress,43226,18
435018517304438,Philly Voter Guide,Philadelphia 3.0 PAC,43184,16
100650352666001,Saving Made Easy,GCL Company LLC,43150,1576
197374340229,E2,E2 (Environmental Entrepreneurs),42893,17
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,42686,112
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",42682,208
34362997676,United States Holocaust Memorial Museum,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,42511,293
104811701387594,Our Community's Health,TruthNotLies,42500,56
124383441363,Connecticut Education Association (CEA),CONNECTICUT EDUCATION ASSOCIATION,42478,81
101204839475983,PennySaver USA,These ads ran without a disclaimer,42461,255
24481937944,Theodore Roosevelt Conservation Partnership,"THEODORE ROOSEVELT CONSERVATION PARTNERSHIP, INC",42392,34
107999458652964,MyObamacare,Norwegian Financial LLC,42367,1034
8047221596,Save the Children US,SAVE THE CHILDREN FEDERATION INC.,42316,29
1476342155924546,Big Rig Threads,Big Rig T-Shirts and Decals LLC,42222,75
106582544906565,Maine Affordable Energy,Maine Affordable Energy,42222,29
340528409646227,Consumer Action for a Strong Economy,CASE for Consumers,42103,21
121940824138795,North Carolina Association of Health Plans,"North Carolina Association of Health Plans, Inc",42021,26
2787340798002504,Justice Daniel Kelly,Friends of Justice Daniel Kelly,42000,22
118591414530011,Philly Union PAC,Union PAC,42000,13
